case_name,seed,split,knot_index,knot_time,slow_pc_step_index,hidden_state_rms_gap_total,hidden_state_rms_gap_rowspace,hidden_state_rms_gap_orthogonal,hidden_state_gap_rowspace_fraction,output_state_rms_gap
same_geometry_last_two_preterminal_plus_terminal,3,validation,4,1.0,15,0.2930740562131739,0.12860302206356275,0.26335084040374995,0.4388072548121438,0.027947767381380266
same_geometry_last_two_preterminal_plus_terminal,3,test,0,0.0,0,0.0,0.0,0.0,0.0,0.0
same_geometry_last_two_preterminal_plus_terminal,3,test,1,0.25,4,0.07562683250417956,0.03205857311468931,0.06849573479031633,0.4239047445616286,0.007004376990780165
same_geometry_last_two_preterminal_plus_terminal,3,test,2,0.5,8,0.14538352366225674,0.06280654166468867,0.13111715096270085,0.43200591155429524,0.013671033714574383
same_geometry_last_two_preterminal_plus_terminal,3,test,3,0.75,11,0.21559464020993882,0.09351293023879878,0.19425854103592594,0.43374422549530467,0.020302621690616585
same_geometry_last_two_preterminal_plus_terminal,3,test,4,1.0,15,0.2914327950293461,0.12458224554463108,0.2634622138251976,0.4274819020696904,0.02702368729535267
same_geometry_last_two_preterminal_plus_terminal,4,validation,0,0.0,0,0.0,0.0,0.0,0.0,0.0
same_geometry_last_two_preterminal_plus_terminal,4,validation,1,0.25,4,0.07684668716489519,0.03571343833780897,0.06804383624040303,0.46473621252112274,0.008041369051010102
same_geometry_last_two_preterminal_plus_terminal,4,validation,2,0.5,8,0.14813046056381687,0.06984798224099545,0.13062883572821923,0.4715301766776312,0.015655575336858605
same_geometry_last_two_preterminal_plus_terminal,4,validation,3,0.75,11,0.21998923617865335,0.10439556895444145,0.19364098021117793,0.4745485314093357,0.023367409308942263
same_geometry_last_two_preterminal_plus_terminal,4,validation,4,1.0,15,0.29668742244173496,0.14059757128197994,0.2612580134363902,0.4738912425908154,0.031488508311169394
same_geometry_last_two_preterminal_plus_terminal,4,test,0,0.0,0,0.0,0.0,0.0,0.0,0.0
same_geometry_last_two_preterminal_plus_terminal,4,test,1,0.25,4,0.0770837105108208,0.035806650703901634,0.06826259730983585,0.46451643890281064,0.008069256446282648
same_geometry_last_two_preterminal_plus_terminal,4,test,2,0.5,8,0.14864263247782533,0.07005796344640211,0.13109734531133893,0.47131810220633324,0.015710571054868016
same_geometry_last_two_preterminal_plus_terminal,4,test,3,0.75,11,0.22077286590652753,0.10470756011573093,0.1943630241974851,0.4742773061616313,0.023440310975613162
same_geometry_last_two_preterminal_plus_terminal,4,test,4,1.0,15,0.2976885686562548,0.1409552836446997,0.26220238732942913,0.47349914805584203,0.03156099674537679
same_geometry_penultimate_only_reference,0,validation,0,0.0,0,0.0,0.0,0.0,0.0,0.0
same_geometry_penultimate_only_reference,0,validation,1,0.25,4,0.07041380797384185,0.03680827861886002,0.06002711869224981,0.5227423381580782,0.0073303935870020764
same_geometry_penultimate_only_reference,0,validation,2,0.5,8,0.13362495621586568,0.0698292251234171,0.11392764476787515,0.5225762245385572,0.013801398572279702
same_geometry_penultimate_only_reference,0,validation,3,0.75,11,0.1979834674565009,0.1046944067629221,0.16803730115262847,0.5288037840125444,0.020600946298869764
same_geometry_penultimate_only_reference,0,validation,4,1.0,15,0.2681797019831894,0.14302215298288265,0.22685902298990268,0.533307151604814,0.028130530534505725
same_geometry_penultimate_only_reference,0,test,0,0.0,0,0.0,0.0,0.0,0.0,0.0
same_geometry_penultimate_only_reference,0,test,1,0.25,4,0.0702693661231742,0.036906789799848926,0.05979692870058184,0.5252187665270172,0.007349127977109188
same_geometry_penultimate_only_reference,0,test,2,0.5,8,0.1330331950194965,0.06977235694341195,0.11326804131641238,0.5244732860335088,0.013798590421001108
same_geometry_penultimate_only_reference,0,test,3,0.75,11,0.1966835976808303,0.10424612497747782,0.1667848405097261,0.5300194129387645,0.020536829601600772
same_geometry_penultimate_only_reference,0,test,4,1.0,15,0.2659990831630034,0.14201467165067344,0.22491630727786238,0.5338915832414629,0.027975194096560765
same_geometry_penultimate_only_reference,1,validation,0,0.0,0,0.0,0.0,0.0,0.0,0.0
same_geometry_penultimate_only_reference,1,validation,1,0.25,4,0.0784577183983434,0.0408722524540109,0.06697068429999316,0.5209462279605865,0.007675850526640089
same_geometry_penultimate_only_reference,1,validation,2,0.5,8,0.14636458365442778,0.07900396251304503,0.1232110597940435,0.5397751323474286,0.014894900544635029
same_geometry_penultimate_only_reference,1,validation,3,0.75,11,0.2128075663759681,0.11618721836590201,0.17829074736299771,0.5459731547356428,0.021956006134281218
same_geometry_penultimate_only_reference,1,validation,4,1.0,15,0.2853427510195186,0.1547818464731679,0.23971455016695103,0.5424418385262578,0.029210975905580184
same_geometry_penultimate_only_reference,1,test,0,0.0,0,0.0,0.0,0.0,0.0,0.0
same_geometry_penultimate_only_reference,1,test,1,0.25,4,0.07835933990092696,0.04078366105249133,0.06690948468539049,0.5204696862436035,0.0076682426333739215
same_geometry_penultimate_only_reference,1,test,2,0.5,8,0.14599266021833676,0.07886449702362061,0.12285865027273442,0.540194944771033,0.014890555128324611
same_geometry_penultimate_only_reference,1,test,3,0.75,11,0.21206801978672402,0.11606389390470914,0.17748807719939613,0.5472955989377095,0.021970282586744667
same_geometry_penultimate_only_reference,1,test,4,1.0,15,0.28425132273081266,0.15476223353774135,0.23842706546159187,0.5444556319067754,0.02926118039415146
same_geometry_penultimate_only_reference,2,validation,0,0.0,0,0.0,0.0,0.0,0.0,0.0
same_geometry_penultimate_only_reference,2,validation,1,0.25,4,0.07690238002703939,0.04279119026465767,0.06389749673936417,0.5564351876965576,0.008959394294216367
same_geometry_penultimate_only_reference,2,validation,2,0.5,8,0.14821438877797713,0.08359302446406465,0.12239163084859868,0.5640007367252697,0.017529083298882767
same_geometry_penultimate_only_reference,2,validation,3,0.75,11,0.21982675139070407,0.12446841057666064,0.18119441325689445,0.5662113905119743,0.02611946634689083
same_geometry_penultimate_only_reference,2,validation,4,1.0,15,0.2957071652809374,0.16677034407423214,0.24419332492074758,0.563971265003983,0.034986231750733975
same_geometry_penultimate_only_reference,2,test,0,0.0,0,0.0,0.0,0.0,0.0,0.0
same_geometry_penultimate_only_reference,2,test,1,0.25,4,0.07706017583651459,0.043026006140307195,0.06392991080526231,0.5583429530655124,0.008962941641673652
same_geometry_penultimate_only_reference,2,test,2,0.5,8,0.14872101555721493,0.08412117208756921,0.12264407394971405,0.5656306996855243,0.017549452221146573
same_geometry_penultimate_only_reference,2,test,3,0.75,11,0.2208200109562631,0.1253392189889435,0.18180087299560974,0.5676080643514184,0.02617142433459486
same_geometry_penultimate_only_reference,2,test,4,1.0,15,0.29725060318075003,0.16802223943477596,0.24520694962957823,0.5652544944798856,0.03508497849484587
same_geometry_penultimate_only_reference,3,validation,0,0.0,0,0.0,0.0,0.0,0.0,0.0
