seed,epoch,candidate_key,handoff_mode,replay_prefix_steps,direction_anchor_mode,relative_terminal_action_vector_delta_vs_replay,terminal_action_direction_cosine_similarity_vs_replay,terminal_action_direction_cosine_similarity_vs_terminal_local_field,terminal_action_norm_ratio_vs_replay,terminal_action_norm_delta_vs_replay,relative_terminal_bootstrap_target_delta,relative_terminal_identity_target_delta,terminal_lambda_id_delta,terminal_post_action_state_slot_displacement,terminal_next_state_displacement_vs_baseline_replay
0,9,residualized_local_field_poly_rt2,terminal_baseline_direction_only_keep_live_norm,3,baseline_direction_only_keep_live_norm,0.10247237180670052,1.0,0.08438404304082034,0.9380425790148255,0.06599851983401157,0.0,0.0,0.0,0.2095251288786461,0.016499629958502897
0,9,residualized_local_field_poly_rt2,terminal_baseline_direction_mix_half_keep_live_norm,3,baseline_direction_mix_half_keep_live_norm,0.7682673723469119,0.6917613966391268,0.1369876634826144,0.9399436105760163,0.0654241513107957,0.0,0.0,0.0,0.11419059217261493,0.11950881616869018
0,9,residualized_local_field_poly_rt2,terminal_local_field_direction_only_keep_live_norm,3,local_field_direction_only_keep_live_norm,1.5001146644030343,-0.19183198571841567,1.0,0.9421743843667632,0.06480452651004712,0.0,0.0,0.0,0.2066706374142687,0.23337126848029385
0,9,residualized_local_field_poly_rt2,terminal_local_field_direction_mix_half_keep_live_norm,3,local_field_direction_mix_half_keep_live_norm,1.4701037586411956,-0.1428142153940079,0.77335944842796,0.9429966071965818,0.06458388217818428,0.0,0.0,0.0,0.09805857941153376,0.22860206142580086
0,9,residualized_local_field_poly_rt2,terminal_replay_action_vector_only,3,replay_action_vector_only,0.0,1.0,0.10415246122146193,1.0,0.0,0.0,0.0,0.0,0.21758125393215058,0.0
0,9,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10,residualized_local_field_poly_rt2,terminal_live_action_raw,3,live_action_raw,1.4063433320605665,-0.02938233466647519,0.22147023614832037,0.9588224898923252,0.05877749769676087,0.0,0.0,0.0,0.0,0.1915895792559299
0,10,residualized_local_field_poly_rt2,terminal_baseline_direction_only_keep_live_norm,3,baseline_direction_only_keep_live_norm,0.10591602096372817,1.0,0.10742272492671776,0.9545077079004507,0.05958759641490792,0.0,0.0,0.0,0.18563995584602927,0.01489689910372698
0,10,residualized_local_field_poly_rt2,terminal_baseline_direction_mix_half_keep_live_norm,3,baseline_direction_mix_half_keep_live_norm,0.7701354054668125,0.6956229697276158,0.136683170094506,0.9563882313859006,0.05921311447022033,0.0,0.0,0.0,0.10106634026558341,0.10496872578665839
0,10,residualized_local_field_poly_rt2,terminal_local_field_direction_only_keep_live_norm,3,local_field_direction_only_keep_live_norm,1.4763144811851672,-0.13517704079870688,1.0,0.9579618209260129,0.05891992353753539,0.0,0.0,0.0,0.1855116113317604,0.20127886729581204
0,10,residualized_local_field_poly_rt2,terminal_local_field_direction_mix_half_keep_live_norm,3,local_field_direction_mix_half_keep_live_norm,1.4567109869786736,-0.1033878487699573,0.7611205744801657,0.9589677719628872,0.05875792166032141,0.0,0.0,0.0,0.08970778223477974,0.19849665982344683
0,10,residualized_local_field_poly_rt2,terminal_replay_action_vector_only,3,replay_action_vector_only,0.0,1.0,0.12279545135356558,1.0,0.0,0.0,0.0,0.0,0.19121045690281982,0.0
0,10,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,11,residualized_local_field_poly_rt2,terminal_live_action_raw,3,live_action_raw,1.4094028327981643,-0.022621519584758804,0.18478786177905215,0.9697620614381905,0.05553753014367759,0.0,0.0,0.0,0.0,0.17150762967112826
0,11,residualized_local_field_poly_rt2,terminal_baseline_direction_only_keep_live_norm,3,baseline_direction_only_keep_live_norm,0.11194828995458417,1.0,0.13144074990493287,0.9656048419873093,0.05603325463513511,0.0,0.0,0.0,0.1669485830522259,0.01400831365878378
0,11,residualized_local_field_poly_rt2,terminal_baseline_direction_mix_half_keep_live_norm,3,baseline_direction_mix_half_keep_live_norm,0.772200395969428,0.6979748920514074,0.1388568748403452,0.9675025095673732,0.05578999371131181,0.0,0.0,0.0,0.09083865949684024,0.09401578173094409
0,11,residualized_local_field_poly_rt2,terminal_local_field_direction_only_keep_live_norm,3,local_field_direction_only_keep_live_norm,1.452128804650805,-0.08562514788966044,1.0,0.9687443626008931,0.05565791883299417,0.0,0.0,0.0,0.1685130974830965,0.1768342614897554
0,11,residualized_local_field_poly_rt2,terminal_local_field_direction_mix_half_keep_live_norm,3,local_field_direction_mix_half_keep_live_norm,1.4417498296529097,-0.06847041118960226,0.7501576993784423,0.9698558184240207,0.055550257900547614,0.0,0.0,0.0,0.08281449658269241,0.1754840103879378
0,11,residualized_local_field_poly_rt2,terminal_replay_action_vector_only,3,replay_action_vector_only,0.0,1.0,0.14384890118798305,1.0,0.0,0.0,0.0,0.0,0.17116130881285815,0.0
0,11,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,12,residualized_local_field_poly_rt2,terminal_live_action_raw,3,live_action_raw,1.411761567214688,-0.01937114151202447,0.15645172354279838,0.9765961594538762,0.05317297341475975,0.0,0.0,0.0,0.0,0.15678649091385996
0,12,residualized_local_field_poly_rt2,terminal_baseline_direction_only_keep_live_norm,3,baseline_direction_only_keep_live_norm,0.11783865617523266,1.0,0.1541437967748291,0.9723503464996757,0.053556468014575864,0.0,0.0,0.0,0.15299981059839507,0.013389117003643966
0,12,residualized_local_field_poly_rt2,terminal_baseline_direction_mix_half_keep_live_norm,3,baseline_direction_mix_half_keep_live_norm,0.7739830242969336,0.6990642070832223,0.14447438255180478,0.9743490914562523,0.053359955080440544,0.0,0.0,0.0,0.08323701532595275,0.086001312639489
0,12,residualized_local_field_poly_rt2,terminal_local_field_direction_only_keep_live_norm,3,local_field_direction_only_keep_live_norm,1.4294009271407742,-0.04417592044164474,1.0,0.9753786839706702,0.053299299230799325,0.0,0.0,0.0,0.15530831946807874,0.15881524518739534
