epoch,stage,lambda_id,alpha,lambda_traj_curr,lambda_sg,train_total_loss,train_boot_loss,train_transport_loss,train_drift_loss,train_identity_loss,train_traj_curr_loss,train_semigroup_loss,train_main_traj_contract_loss,train_mean_midpoint_reconstruction_shift_norm,train_mean_continuation_reevaluation_shift_norm,train_mean_continuation_target_blend_shift_norm,train_mean_semigroup_endpoint_closure_residual_norm,train_mean_predictor_semigroup_defect_norm,train_mean_corrected_semigroup_defect_norm,train_mean_first_projection_short_leg_correction_norm,train_mean_first_projection_continuation_correction_norm,train_mean_second_projection_short_leg_correction_norm,train_mean_second_projection_continuation_correction_norm,train_transported_final_energy,val_one_step_transported_final_energy,val_one_step_energy_delta_vs_identity,val_one_step_fixed_point_residual_delta_vs_identity,val_configured_transported_final_energy,val_configured_energy_delta_vs_identity,val_configured_fixed_point_residual_delta_vs_identity,val_accuracy,val_output_mse
34,hybrid,0.1,0.5,0.2,0.1,3.2971675793206153e-06,2.5756425570364826e-06,1.6650064827559396e-06,9.106360742805431e-07,5.147427807655072e-06,8.836887186018397e-07,3.004449779825772e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4106850327603134,0.41322943439942494,-0.00011754122812712708,-5.199984769148499e-07,0.4132289026592522,-0.00011807296829985381,-5.212004805231507e-07,0.5185185185185185,0.08266939512551041
35,hybrid,0.1,0.5,0.2,0.1,3.2787276599197432e-06,2.562590214457489e-06,1.6544301688784468e-06,9.081600455790426e-07,5.107052889363916e-06,8.769891184564135e-07,3.0034332834579914e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4096799864896825,0.41233845946599845,-0.00012079876065823614,-5.307849075955942e-07,0.41233797776541303,-0.00012128046124365577,-5.31734775217435e-07,0.5185185185185185,0.08249185164533133
36,hybrid,0.1,0.5,0.2,0.1,3.255019694647204e-06,2.54561751397029e-06,1.6422740153912894e-06,9.033434985790007e-07,5.05727655865357e-06,8.682588016500122e-07,3.002276448155439e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4087907005600931,0.41145411506302,-0.00012417841617140546,-5.419644062105511e-07,0.41145362995124474,-0.0001246635279466557,-5.428965555583597e-07,0.5185185185185185,0.08231565869583828
37,hybrid,0.1,0.5,0.2,0.1,3.2356074469679678e-06,2.532182061669959e-06,1.6306124663286628e-06,9.015695953412968e-07,5.01312417837051e-06,8.60506145600529e-07,3.001173834085187e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4079768967097445,0.41057457895946065,-0.00012773139231764263,-5.538047321096504e-07,0.4105741447277272,-0.000128165624051102,-5.545021839250001e-07,0.5222222222222223,0.08214046207035566
38,hybrid,0.1,0.5,0.2,0.1,3.2156503519114167e-06,2.5174887135225415e-06,1.6197515629428326e-06,8.977371505797087e-07,4.974157529183042e-06,8.537233053768002e-07,3.000122439521107e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40713591457361337,0.409706583059095,-0.00013147329053603274,-5.663137262756923e-07,0.4097062563260829,-0.00013180002354817866,-5.665027582807478e-07,0.5370370370370371,0.0819676112699262
39,hybrid,0.1,0.5,0.2,0.1,3.2004664850859365e-06,2.508137829557156e-06,1.6125578605171855e-06,8.955799690399704e-07,4.929912195533113e-06,8.467387078114443e-07,2.998969441318035e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4062291315636517,0.4088484115252557,-0.00013523857253450178,-5.78859648782355e-07,0.40884823283250266,-0.00013541726528754072,-5.783818654548321e-07,0.5333333333333333,0.08179673001955803
40,hybrid,0.1,0.5,0.2,0.1,3.183634829907045e-06,2.49660300583243e-06,1.60310284252764e-06,8.935001633047894e-07,4.890198766792791e-06,8.40161981430927e-07,2.997955110915093e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40526612344713603,0.40799687268633134,-0.00013885090603016348,-5.905228383390492e-07,0.40799670111710207,-0.00013902247525943157,-5.899918237921536e-07,0.5407407407407407,0.0816271447184723
41,hybrid,0.1,0.5,0.2,0.1,3.1685405252486835e-06,2.4857976714384866e-06,1.5949145258957406e-06,8.908831455427458e-07,4.8581663326911964e-06,8.347791586513576e-07,2.9970388810805704e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40434897136240205,0.4071530663172524,-0.0001425846144249565,-6.025305599043247e-07,0.4071529397540306,-0.00014271117764674823,-6.018003495723455e-07,0.5444444444444444,0.08145913018633548
42,hybrid,0.1,0.5,0.2,0.1,3.1493383509093823e-06,2.473111152203305e-06,1.586102813706207e-06,8.870083384970981e-07,4.809313624160141e-06,8.26686617646289e-07,2.995851276080546e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.403509637893469,0.40631740968636426,-0.00014657652491567585,-6.155300243179532e-07,0.40631751978990316,-0.00014646642137677857,-6.137980344136733e-07,0.5444444444444444,0.08129279724225598
43,hybrid,0.1,0.5,0.2,0.1,3.133011530570387e-06,2.460479255735107e-06,1.5764077180755567e-06,8.8407153765955e-07,4.782568081151897e-06,8.216272913549702e-07,2.995000844909628e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4027815675472636,0.4054882715413964,-0.00015056701871257738,-6.284285006511077e-07,0.4054884973580563,-0.00015034120205265067,-6.261866693206975e-07,0.5444444444444444,0.08112776771202179
