seed,epoch,candidate_key,handoff_mode,replay_prefix_steps,action_intervention_mode,relative_terminal_action_vector_delta_vs_replay,terminal_action_direction_cosine_similarity_vs_replay,terminal_action_norm_ratio_vs_replay,terminal_action_norm_delta_vs_replay,relative_terminal_bootstrap_target_delta,relative_terminal_identity_target_delta,terminal_lambda_id_delta,terminal_state_slot_displacement_after_action,terminal_next_state_displacement_vs_baseline_replay
0,13,residualized_local_field_poly_rt2,terminal_live_action_raw,3,live_action_raw,1.418636019488351,-0.02038220915898228,0.985622621046609,0.05146558129549532,0.0,0.0,0.0,0.0,0.14613672617799023
0,13,residualized_local_field_poly_rt2,terminal_replay_action_vector_only,3,replay_action_vector_only,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.14579771964559132,0.0
0,13,residualized_local_field_poly_rt2,terminal_replay_action_direction_only,3,replay_action_direction_only,0.12306882370943206,1.0,0.9812136753644385,0.05168325877317707,0.0,0.0,0.0,0.14313935388098403,0.012920814693294267
0,13,residualized_local_field_poly_rt2,terminal_replay_action_norm_only,3,replay_action_norm_only,1.426072671615335,-0.0204187810132477,1.0,1.7611986604554056e-17,0.0,0.0,0.0,0.01285436095652405,0.1477861118698264
0,13,residualized_local_field_poly_rt2,terminal_replay_post_action_state_only,3,replay_post_action_state_only,1.4153543990948783,-0.02025298167906379,0.9811250734519128,0.05172729915324725,0.0,0.0,0.0,0.14579771964559132,0.0
0,13,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,14,residualized_local_field_poly_rt2,terminal_live_action_raw,3,live_action_raw,1.4210622290642019,-0.0200118946375234,0.9897741497669234,0.05073288220389438,0.0,0.0,0.0,0.0,0.13872689215639952
0,14,residualized_local_field_poly_rt2,terminal_replay_action_vector_only,3,replay_action_vector_only,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1383843674734676,0.0
0,14,residualized_local_field_poly_rt2,terminal_replay_action_direction_only,3,replay_action_direction_only,0.12803166510802677,1.0,0.985237628548578,0.05088906595622171,0.0,0.0,0.0,0.1360428734758901,0.012722266489055428
0,14,residualized_local_field_poly_rt2,terminal_replay_action_norm_only,3,replay_action_norm_only,1.4256488520198913,-0.020054275166289798,1.0,1.6503415697525066e-17,0.0,0.0,0.0,0.012670582941465886,0.14006133096714862
0,14,residualized_local_field_poly_rt2,terminal_replay_post_action_state_only,3,replay_post_action_state_only,1.4175663473583782,-0.019713302846120207,0.9851439003849963,0.05093828766606926,0.0,0.0,0.0,0.1383843674734676,0.0
0,14,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,15,residualized_local_field_poly_rt2,terminal_live_action_raw,3,live_action_raw,1.4271425693901592,-0.02200532315876935,0.9969232373204789,0.05007053270573465,0.0,0.0,0.0,0.0,0.13328198730500285
0,15,residualized_local_field_poly_rt2,terminal_replay_action_vector_only,3,replay_action_vector_only,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.13294033877050512,0.0
0,15,residualized_local_field_poly_rt2,terminal_replay_action_direction_only,3,replay_action_direction_only,0.13235908190737394,1.0,0.9923079002275665,0.050139507104323154,0.0,0.0,0.0,0.13110121062627816,0.012534876776080789
0,15,residualized_local_field_poly_rt2,terminal_replay_action_norm_only,3,replay_action_norm_only,1.426886124697622,-0.022055662585312046,1.0,1.589750156913031e-17,0.0,0.0,0.0,0.012504574210596944,0.13412947835434094
0,15,residualized_local_field_poly_rt2,terminal_replay_post_action_state_only,3,replay_post_action_state_only,1.4234909655313683,-0.02158529323493149,0.9922149824221664,0.050191926545868806,0.0,0.0,0.0,0.13294033877050512,0.0
0,15,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,16,residualized_local_field_poly_rt2,terminal_live_action_raw,3,live_action_raw,1.4322797096155835,-0.022808400025146357,1.0031764380334933,0.050215141056184076,0.0,0.0,0.0,0.0,0.1299119628775806
0,16,residualized_local_field_poly_rt2,terminal_replay_action_vector_only,3,replay_action_vector_only,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12956097687599485,0.0
0,16,residualized_local_field_poly_rt2,terminal_replay_action_direction_only,3,replay_action_direction_only,0.13728664499120455,1.0,0.9984808397524846,0.05029738064685296,0.0,0.0,0.0,0.12809552176979686,0.012574345161713237
0,16,residualized_local_field_poly_rt2,terminal_replay_action_norm_only,3,replay_action_norm_only,1.4274199095564533,-0.0228622734600255,1.0,1.4413486938372057e-17,0.0,0.0,0.0,0.012539868025044953,0.13036622299626352
0,16,residualized_local_field_poly_rt2,terminal_replay_post_action_state_only,3,replay_post_action_state_only,1.428427907534051,-0.02221025861416389,0.998377219078965,0.05035634905210286,0.0,0.0,0.0,0.12956097687599485,0.0
0,16,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,17,residualized_local_field_poly_rt2,terminal_live_action_raw,3,live_action_raw,1.438280511492693,-0.02275553790036033,1.011872900068193,0.05018566998970808,0.0,0.0,0.0,0.0,0.127114622201643
0,17,residualized_local_field_poly_rt2,terminal_replay_action_vector_only,3,replay_action_vector_only,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12676239892795127,0.0
0,17,residualized_local_field_poly_rt2,terminal_replay_action_direction_only,3,replay_action_direction_only,0.14130087323728602,1.0,1.0071618144755399,0.05021752134728306,0.0,0.0,0.0,0.12581956816507664,0.012554380336820761
0,17,residualized_local_field_poly_rt2,terminal_replay_action_norm_only,3,replay_action_norm_only,1.4272847769714294,-0.02281320292974294,1.0,1.4399856968203668e-17,0.0,0.0,0.0,0.012531915347029604,0.12703832989346467
0,17,residualized_local_field_poly_rt2,terminal_replay_post_action_state_only,3,replay_post_action_state_only,1.43430970463299,-0.022021484683258315,1.0070584551637733,0.050278388599766445,0.0,0.0,0.0,0.12676239892795127,0.0
0,17,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,18,residualized_local_field_poly_rt2,terminal_live_action_raw,3,live_action_raw,1.4442688249501723,-0.024151740401783715,1.0189466564223006,0.050356803204211355,0.0,0.0,0.0,0.0,0.12549927261865068
0,18,residualized_local_field_poly_rt2,terminal_replay_action_vector_only,3,replay_action_vector_only,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12513815671785503,0.0
0,18,residualized_local_field_poly_rt2,terminal_replay_action_direction_only,3,replay_action_direction_only,0.14479807079514015,1.0,1.0141473415321038,0.05039591458559954,0.0,0.0,0.0,0.1245937998285956,0.012598978646399885
0,18,residualized_local_field_poly_rt2,terminal_replay_action_norm_only,3,replay_action_norm_only,1.4281106157857608,-0.024213462687323568,1.0,1.3855071190867142e-17,0.0,0.0,0.0,0.012573672032677613,0.1250038904108356
0,18,residualized_local_field_poly_rt2,terminal_replay_post_action_state_only,3,replay_post_action_state_only,1.440130361128326,-0.023297607633948784,1.0140391814890268,0.05046302522356718,0.0,0.0,0.0,0.12513815671785503,0.0
0,18,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,19,residualized_local_field_poly_rt2,terminal_live_action_raw,3,live_action_raw,1.4474950191292955,-0.022260841227996736,1.0254837994425774,0.05049448464788077,0.0,0.0,0.0,0.0,0.1239892200033208
0,19,residualized_local_field_poly_rt2,terminal_replay_action_vector_only,3,replay_action_vector_only,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12362549265021867,0.0
0,19,residualized_local_field_poly_rt2,terminal_replay_action_direction_only,3,replay_action_direction_only,0.14791217027190404,1.0,1.0207325710679336,0.05053870055793565,0.0,0.0,0.0,0.12342524805438429,0.012634675139483912
0,19,residualized_local_field_poly_rt2,terminal_replay_action_norm_only,3,replay_action_norm_only,1.4266890996113661,-0.022327138841186138,1.0,1.2886104220714381e-17,0.0,0.0,0.0,0.01260778811703101,0.12312626887186569
0,19,residualized_local_field_poly_rt2,terminal_replay_post_action_state_only,3,replay_post_action_state_only,1.4432694731773887,-0.021249714885093272,1.0206166071978509,0.050607658715751305,0.0,0.0,0.0,0.12362549265021867,0.0
0,19,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,20,residualized_local_field_poly_rt2,terminal_live_action_raw,3,live_action_raw,1.4528596268745293,-0.021508731802265507,1.0336341634299513,0.05063159898350432,0.0,0.0,0.0,0.0,0.12306727906189777
0,20,residualized_local_field_poly_rt2,terminal_replay_action_vector_only,3,replay_action_vector_only,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12269735356146813,0.0
0,20,residualized_local_field_poly_rt2,terminal_replay_action_direction_only,3,replay_action_direction_only,0.1507536675221658,1.0,1.0288360258162421,0.05067443849285571,0.0,0.0,0.0,0.12295129485408449,0.012668609623213927
0,20,residualized_local_field_poly_rt2,terminal_replay_action_norm_only,3,replay_action_norm_only,1.4260913886511895,-0.02157624898425808,1.0,1.3325154471896131e-17,0.0,0.0,0.0,0.01264175456922865,0.12172402732375917
0,20,residualized_local_field_poly_rt2,terminal_replay_post_action_state_only,3,replay_post_action_state_only,1.4485122138778501,-0.020391801773193635,1.0287225489398844,0.05074844882233861,0.0,0.0,0.0,0.12269735356146813,0.0
0,20,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,21,residualized_local_field_poly_rt2,terminal_live_action_raw,3,live_action_raw,1.456583096984154,-0.019658069090503917,1.0406564464415737,0.050904654208123866,0.0,0.0,0.0,0.0,0.12222923075054364
0,21,residualized_local_field_poly_rt2,terminal_replay_action_vector_only,3,replay_action_vector_only,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12185694170928282,0.0
0,21,residualized_local_field_poly_rt2,terminal_replay_action_direction_only,3,replay_action_direction_only,0.15385193370524688,1.0,1.0359004560902123,0.05096865305025048,0.0,0.0,0.0,0.12245995194392005,0.01274216326256262
0,21,residualized_local_field_poly_rt2,terminal_replay_action_norm_only,3,replay_action_norm_only,1.4247276598438272,-0.01972900681006915,1.0,1.3262787032640775e-17,0.0,0.0,0.0,0.01270912634300129,0.12050724328676714
0,21,residualized_local_field_poly_rt2,terminal_replay_post_action_state_only,3,replay_post_action_state_only,1.4521742753702278,-0.018425553419353438,1.0357812895312615,0.05104467694581997,0.0,0.0,0.0,0.12185694170928282,0.0
0,21,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,22,residualized_local_field_poly_rt2,terminal_live_action_raw,3,live_action_raw,1.4588328417327616,-0.019219668019621404,1.0444179920973589,0.05088731652103336,0.0,0.0,0.0,0.0,0.12169946304770615
0,22,residualized_local_field_poly_rt2,terminal_replay_action_vector_only,3,replay_action_vector_only,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12131602003388434,0.0
0,22,residualized_local_field_poly_rt2,terminal_replay_action_direction_only,3,replay_action_direction_only,0.15505954735233507,1.0,1.03957721291749,0.05094615629768161,0.0,0.0,0.0,0.12209654016448532,0.0127365390744204
0,22,residualized_local_field_poly_rt2,terminal_replay_action_norm_only,3,replay_action_norm_only,1.4243174406097316,-0.01928897149879371,1.0,1.3593417066573971e-17,0.0,0.0,0.0,0.012704441473267556,0.11977327252456305
0,22,residualized_local_field_poly_rt2,terminal_replay_post_action_state_only,3,replay_post_action_state_only,1.4542649570205364,-0.017861784087132897,1.039455817706883,0.05102458074822132,0.0,0.0,0.0,0.12131602003388434,0.0
0,22,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,23,residualized_local_field_poly_rt2,terminal_live_action_raw,3,live_action_raw,1.4611088162733796,-0.01753595752293772,1.0493046091513423,0.05062329839840475,0.0,0.0,0.0,0.0,0.12096312042369647
0,23,residualized_local_field_poly_rt2,terminal_replay_action_vector_only,3,replay_action_vector_only,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12057761476226352,0.0
